fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.0685626 	-223.825250684 	-102.68695836 	-106.82614254 	-85.441851792
-755.29 	0.1598796 	-223.470599124 	-102.72967544 	-106.84103508 	-85.460137152
-755.29 	0.1142211 	-223.292982646 	-102.665529792 	-106.78146492 	-85.478422512
-755.29 	0.1598796 	-223.292982646 	-102.75103398 	-106.84103508 	-85.460137152
-755.29 	0.09139185 	-223.381936234 	-102.72967544 	-106.885761528 	-85.441851792
-755.29 	0.1142211 	-223.115656866 	-102.75103398 	-106.79635746 	-85.469279832
-755.29 	0.13705035 	-223.381936234 	-102.644171252 	-106.81125 	-85.496737848
-755.29 	0.09139185 	-223.381936234 	-102.75103398 	-106.766523552 	-85.487595168
-755.29 	0.0456585 	-223.381936234 	-102.815179628 	-106.82614254 	-85.450994472
-755.29 	0.18270885 	-223.204319756 	-102.793821088 	-106.855976448 	-85.450994472
-755.29 	0.1142211 	-223.559262014 	-102.815179628 	-106.870868988 	-85.515023208
-755.29 	0.0456585 	-223.204319756 	-102.665529792 	-106.870868988 	-85.450994472
-755.29 	0.0685626 	-223.647924904 	-102.77239252 	-106.82614254 	-85.432709112
-755.29 	0.09139185 	-223.470599124 	-102.836538168 	-106.84103508 	-85.432709112
-755.29 	0.13705035 	-223.204319756 	-102.75103398 	-106.82614254 	-85.432709112
-755.29 	0.0456585 	-223.470599124 	-102.72967544 	-106.84103508 	-85.432709112
-755.29 	0.0685626 	-223.381936234 	-102.879255248 	-106.855976448 	-85.460137152
-755.29 	0.0685626 	-223.292982646 	-102.77239252 	-106.84103508 	-85.432709112
-755.29 	0.0685626 	-223.381936234 	-102.68695836 	-106.960273056 	-85.487595168
-755.29 	0.0685626 	-223.559262014 	-102.72967544 	-106.855976448 	-85.432709112
-755.29 	0.0685626 	-223.559262014 	-102.75103398 	-106.855976448 	-85.450994472
-755.29 	0.0685626 	-223.559262014 	-102.77239252 	-106.915546608 	-85.450994472
-755.29 	0.1598796 	-223.115656866 	-102.644171252 	-106.79635746 	-85.450994472
-755.29 	0.18270885 	-223.470599124 	-102.75103398 	-106.82614254 	-85.478422512
-755.29 	0.1598796 	-223.115656866 	-102.7083169 	-106.82614254 	-85.460137152
-755.29 	0.0685626 	-223.647924904 	-102.72967544 	-106.855976448 	-85.460137152
-755.29 	0.1598796 	-223.470599124 	-102.75103398 	-106.81125 	-85.441851792
-755.29 	0.0456585 	-223.559262014 	-102.72967544 	-106.82614254 	-85.515023208
-755.29 	0.09139185 	-223.115656866 	-102.68695836 	-106.82614254 	-85.460137152
-755.29 	0.0685626 	-223.381936234 	-102.75103398 	-106.870868988 	-85.423536456
-755.29 	0.0456585 	-223.381936234 	-102.793821088 	-106.870868988 	-85.487595168
-755.29 	0.0685626 	-223.381936234 	-102.72967544 	-106.84103508 	-85.487595168
-755.29 	0.13705035 	-223.470599124 	-102.75103398 	-106.855976448 	-85.441851792
-755.29 	0.0456585 	-223.204319756 	-102.72967544 	-106.78146492 	-85.450994472
-755.29 	0.0685626 	-223.559262014 	-102.77239252 	-106.870868988 	-85.487595168
-755.29 	0.1598796 	-223.647924904 	-102.77239252 	-106.79635746 	-85.460137152
-755.29 	0.0685626 	-223.292982646 	-102.793821088 	-106.84103508 	-85.460137152
-755.29 	0.0685626 	-223.026993976 	-102.72967544 	-106.81125 	-85.460137152
-755.29 	0.09139185 	-223.381936234 	-102.75103398 	-106.855976448 	-85.478422512
-755.29 	0.1598796 	-223.381936234 	-102.793821088 	-106.915546608 	-85.450994472
-755.29 	0.0456585 	-223.292982646 	-102.836538168 	-106.855976448 	-85.487595168
-755.29 	0.1598796 	-223.204319756 	-102.75103398 	-106.885761528 	-85.469279832
-755.29 	0.0456585 	-223.736587794 	-102.836538168 	-106.855976448 	-85.450994472
-755.29 	0.0685626 	-223.381936234 	-102.793821088 	-106.900654068 	-85.450994472
-755.29 	0.0456585 	-223.470599124 	-102.793821088 	-106.885761528 	-85.441851792
-755.29 	0.09139185 	-223.470599124 	-102.77239252 	-106.870868988 	-85.441851792
-755.29 	0.13705035 	-223.292982646 	-102.793821088 	-106.870868988 	-85.478422512
-755.29 	0.0685626 	-223.292982646 	-102.72967544 	-106.82614254 	-85.450994472
-755.29 	0.02282925 	-223.292982646 	-102.75103398 	-106.855976448 	-85.450994472
-755.29 	0.09139185 	-223.381936234 	-102.793821088 	-106.885761528 	-85.450994472
-755.29 	0.13705035 	-223.470599124 	-102.815179628 	-106.766523552 	-85.478422512
-755.29 	0.1598796 	-223.381936234 	-102.815179628 	-106.78146492 	-85.460137152
-755.29 	0.09139185 	-222.938331086 	-102.77239252 	-106.84103508 	-85.441851792
-755.29 	0.1598796 	-223.292982646 	-102.75103398 	-106.870868988 	-85.469279832
-755.29 	0.0685626 	-223.292982646 	-102.77239252 	-106.78146492 	-85.478422512
-755.29 	0.13705035 	-223.381936234 	-102.72967544 	-106.870868988 	-85.460137152
-755.29 	0.1598796 	-223.115656866 	-102.77239252 	-106.84103508 	-85.460137152
-755.29 	0.09139185 	-223.470599124 	-102.879255248 	-106.855976448 	-85.469279832
-755.29 	0.1142211 	-223.559262014 	-102.793821088 	-106.855976448 	-85.478422512
-755.29 	0.18270885 	-223.470599124 	-102.7083169 	-106.870868988 	-85.441851792
-755.29 	0.20561295 	-223.470599124 	-102.72967544 	-106.870868988 	-85.478422512
-755.29 	0.1142211 	-223.292982646 	-102.77239252 	-106.84103508 	-85.460137152
-755.29 	0.13705035 	-223.381936234 	-102.72967544 	-106.855976448 	-85.469279832
-755.29 	0.0456585 	-223.470599124 	-102.7083169 	-106.855976448 	-85.441851792
-755.29 	0.0456585 	-223.647924904 	-102.72967544 	-106.870868988 	-85.460137152
-755.29 	0.13705035 	-223.470599124 	-102.7083169 	-106.84103508 	-85.432709112
-755.29 	0.09139185 	-223.470599124 	-102.836538168 	-106.84103508 	-85.460137152
-755.29 	0.1142211 	-223.292982646 	-102.75103398 	-106.855976448 	-85.469279832
-755.29 	0.1142211 	-223.736587794 	-102.836538168 	-106.870868988 	-85.441851792
-755.29 	0.13705035 	-223.470599124 	-102.815179628 	-106.81125 	-85.460137152
-755.29 	0.0685626 	-223.204319756 	-102.77239252 	-106.870868988 	-85.478422512
-755.29 	0.13705035 	-223.381936234 	-102.75103398 	-106.900654068 	-85.441851792
-755.29 	0.09139185 	-223.470599124 	-102.815179628 	-106.84103508 	-85.469279832
-755.29 	0.0456585 	-223.470599124 	-102.68695836 	-106.82614254 	-85.469279832
-755.29 	0.0456585 	-223.470599124 	-102.77239252 	-106.870868988 	-85.441851792
-755.29 	0.13705035 	-223.115656866 	-102.77239252 	-106.84103508 	-85.441851792
-755.29 	0.1142211 	-223.647924904 	-102.72967544 	-106.82614254 	-85.450994472
-755.29 	0.13705035 	-223.292982646 	-102.68695836 	-106.855976448 	-85.450994472
-755.29 	0.02282925 	-223.470599124 	-102.793821088 	-106.855976448 	-85.441851792
-755.29 	0.09139185 	-223.559262014 	-102.836538168 	-106.82614254 	-85.441851792
-755.29 	0.0456585 	-223.381936234 	-102.77239252 	-106.82614254 	-85.450994472
-755.29 	0.18270885 	-223.115656866 	-102.72967544 	-106.855976448 	-85.423536456
-755.29 	0.1142211 	-223.647924904 	-102.75103398 	-106.84103508 	-85.460137152
-755.29 	0.1142211 	-223.204319756 	-102.68695836 	-106.870868988 	-85.450994472
-755.29 	0.09139185 	-223.204319756 	-102.815179628 	-106.79635746 	-85.487595168
-755.29 	0.0456585 	-223.559262014 	-102.72967544 	-106.81125 	-85.478422512
-755.29 	0.1142211 	-223.825250684 	-102.77239252 	-106.81125 	-85.487595168
-755.29 	0.09139185 	-223.470599124 	-102.75103398 	-106.930439148 	-85.441851792
-755.29 	0.1142211 	-223.647924904 	-102.72967544 	-106.82614254 	-85.460137152
-755.29 	0.13705035 	-223.204319756 	-102.793821088 	-106.84103508 	-85.496737848
-755.29 	0.13705035 	-223.470599124 	-102.815179628 	-106.81125 	-85.450994472
-755.29 	0.1142211 	-223.026993976 	-102.72967544 	-106.855976448 	-85.460137152
