fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.0685626 	-223.292982646 	-102.77239252 	-106.84103508 	-85.487595168
-755.29 	0.1142211 	-223.647924904 	-102.815179628 	-106.885761528 	-85.487595168
-755.29 	0.13705035 	-223.647924904 	-102.77239252 	-106.82614254 	-85.487595168
-755.29 	0.0685626 	-223.470599124 	-102.793821088 	-106.870868988 	-85.441851792
-755.29 	0.1142211 	-223.292982646 	-102.815179628 	-106.855976448 	-85.469279832
-755.29 	0.1142211 	-223.647924904 	-102.815179628 	-106.870868988 	-85.460137152
-755.29 	0.1598796 	-223.559262014 	-102.72967544 	-106.870868988 	-85.478422512
-755.29 	0.1142211 	-223.470599124 	-102.836538168 	-106.885761528 	-85.450994472
-755.29 	0.1142211 	-223.736587794 	-102.793821088 	-106.885761528 	-85.450994472
-755.29 	0.1598796 	-223.736587794 	-102.815179628 	-106.900654068 	-85.478422512
-755.29 	0.1142211 	-223.381936234 	-102.72967544 	-106.885761528 	-85.487595168
-755.29 	0.09139185 	-223.825250684 	-102.72967544 	-106.885761528 	-85.450994472
-755.29 	0.0456585 	-223.470599124 	-102.857896708 	-106.900654068 	-85.469279832
-755.29 	0.0 	-223.470599124 	-102.836538168 	-106.870868988 	-85.487595168
-755.29 	0.0456585 	-223.736587794 	-102.77239252 	-106.855976448 	-85.487595168
-755.29 	0.09139185 	-223.470599124 	-102.815179628 	-106.870868988 	-85.542481224
-755.29 	0.0456585 	-223.381936234 	-102.857896708 	-106.84103508 	-85.423536456
-755.29 	0.13705035 	-224.180192942 	-102.815179628 	-106.870868988 	-85.450994472
-755.29 	0.0456585 	-223.292982646 	-102.665529792 	-106.870868988 	-85.487595168
-755.29 	0.0685626 	-223.559262014 	-102.77239252 	-106.78146492 	-85.478422512
-755.29 	0.1142211 	-223.470599124 	-102.815179628 	-106.900654068 	-85.460137152
-755.29 	0.1142211 	-223.292982646 	-102.857896708 	-106.855976448 	-85.487595168
-755.29 	0.09139185 	-223.470599124 	-102.7083169 	-106.885761528 	-85.478422512
-755.29 	0.1142211 	-223.470599124 	-102.836538168 	-106.885761528 	-85.478422512
-755.29 	0.09139185 	-223.292982646 	-102.793821088 	-106.855976448 	-85.450994472
-755.29 	0.1142211 	-223.736587794 	-102.815179628 	-106.900654068 	-85.478422512
-755.29 	0.02282925 	-223.381936234 	-102.793821088 	-106.855976448 	-85.478422512
-755.29 	0.13705035 	-223.470599124 	-102.77239252 	-106.855976448 	-85.460137152
-755.29 	0.0685626 	-223.559262014 	-102.857896708 	-106.82614254 	-85.505880528
-755.29 	0.13705035 	-223.204319756 	-102.857896708 	-106.855976448 	-85.478422512
-755.29 	0.0685626 	-223.381936234 	-102.879255248 	-106.885761528 	-85.450994472
-755.29 	0.0685626 	-223.381936234 	-102.857896708 	-106.855976448 	-85.441851792
-755.29 	0.2741007 	-223.470599124 	-102.793821088 	-106.870868988 	-85.478422512
-755.29 	0.02282925 	-223.559262014 	-102.900613788 	-106.855976448 	-85.469279832
-755.29 	0.1142211 	-223.381936234 	-102.72967544 	-106.855976448 	-85.469279832
